,Total_Experience,Relevant_experience,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,PG_Specialization,PHD_Specialization,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Certifications,International_degree_any,Expected_CTC
13212,12,2,HR,Project Manager,Training,L,Sr.Manager,Doctorate,Arts,Others,Psychology,2283901,0,C,2,0,0,2836605
13213,23,4,Sales,Head,Insurance,G,HR,Doctorate,Sociology,Sociology,Sociology,3873248,0,C,2,0,1,4810574
13214,6,1,IT-Software,Sales Execituve,Automobile,G,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,700033,0,D,3,5,0,805037
13215,16,4,Others,Others,Telecom,P,Web Designer,Grad,Economics,Economics,Did not do PHD,2773718,0,A,2,1,0,3467147
13216,12,12,Others,Business Analyst,Telecom,F,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1110015,0,D,6,1,0,1276517
13217,13,3,Engineering,Financial Analyst,Aviation,L,Product Manager,Grad,Engineering,Engineering,Did not do PHD,1961935,0,C,3,0,0,2256225
13218,19,8,HR,Sales Manager,Training,I,Software Developer,Grad,Others,Psychology,Did not do PHD,2498346,0,A,6,3,0,3122932
13219,25,24,HR,CEO,Telecom,E,Manager,Grad,Psychology,Psychology,Did not do PHD,2523461,1,Key_Performer,5,0,0,3230030
13220,3,2,Marketing,Others,Analytics,J,Sr.Manager,Doctorate,Botony,Botony,Botony,1384493,0,D,1,0,0,1719540
13221,12,9,Banking,Senior Researcher,Telecom,F,Research Scientist,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1107781,0,C,2,1,0,1273948
13222,13,7,HR,Senior Researcher,Telecom,F,Consultant,Grad,Botony,Botony,Did not do PHD,2085459,0,C,4,0,0,2398277
13223,2,0,Banking,Associate,Aviation,D,CA,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,571498,0,B,2,1,0,714372
13226,12,4,Healthcare,CEO,FMCG,O,Web Designer,Grad,Engineering,Engineering,Did not do PHD,1816667,0,D,4,4,1,2089167
13227,25,17,Engineering,Others,Retail,J,Medical Officer,Grad,Arts,Arts,Did not do PHD,2403790,0,A,2,0,0,3004737
13228,23,13,Analytics/BI,Team Lead,Training,O,Marketing Manager,Grad,Statistics,Statistics,Did not do PHD,2296082,0,D,6,0,0,2640494
13229,3,1,Education,Consultant,Aviation,H,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,425088,0,B,1,1,0,531360
13230,6,1,Accounts,Sales Execituve,IT,J,HR,Grad,Chemistry,Chemistry,Did not do PHD,616197,0,A,2,0,0,801056
13231,18,10,Top Management,Area Sales Manager,Retail,L,Software Developer,PG,Economics,Economics,Did not do PHD,3244240,0,A,5,1,0,4217512
13232,8,8,Healthcare,Sales Execituve,Automobile,C,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,719255,0,B,3,0,0,899068
13233,12,6,HR,Analyst,Others,G,Web Designer,Doctorate,Chemistry,Chemistry,Chemistry,2284008,1,D,4,0,0,2941802
13234,20,14,Engineering,Team Lead,Telecom,O,Sr.Manager,Doctorate,Arts,Arts,Others,2422286,0,A,2,0,0,3270086
13235,15,8,Marketing,Head,Others,D,Director,Doctorate,Chemistry,Others,Economics,2213853,1,A,5,0,0,3099394
13236,15,5,Marketing,Sales Manager,Automobile,M,Others,PG,Sociology,Sociology,Did not do PHD,1965584,0,D,5,0,0,2350838
13237,15,0,HR,Sales Execituve,Aviation,P,Manager,Grad,Botony,Botony,Did not do PHD,2510808,1,Key_Performer,2,0,0,3213834
13238,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Grad,Chemistry,Chemistry,Did not do PHD,0,0,Fresher,0,0,0,633791
13239,3,0,Analytics/BI,Team Lead,FMCG,L,Marketing Manager,PG,Sociology,Sociology,Did not do PHD,753624,0,B,1,2,0,979711
13240,6,2,Analytics/BI,Financial Analyst,Aviation,B,Assistant Manager,PG,Chemistry,Chemistry,Did not do PHD,2072303,0,D,6,1,0,2478474
13241,10,1,Engineering,CEO,Analytics,J,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1474063,0,B,5,0,0,1842578
13242,19,2,Marketing,Business Analyst,Aviation,P,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1491346,0,B,4,2,0,1864182
13243,7,0,Banking,Project Manager,Analytics,E,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1109320,1,Key_Performer,6,0,0,1499800
13244,13,13,Engineering,Others,Aviation,O,Consultant,Doctorate,Zoology,Zoology,Zoology,1779116,1,Key_Performer,2,0,0,2490762
13246,7,0,Education,Financial Analyst,Insurance,G,Others,PG,Statistics,Statistics,Did not do PHD,1058400,1,Key_Performer,2,1,0,1452971
13247,12,3,Healthcare,Team Lead,Analytics,C,Others,Grad,Economics,Economics,Did not do PHD,1957906,0,C,3,0,0,2251591
13248,4,1,Education,Professor,Automobile,P,Manager,PG,Arts,Arts,Did not do PHD,592808,0,B,2,0,0,770650
13249,1,1,Healthcare,Scientist,Telecom,P,Sr.Manager,PG,Others,Others,Did not do PHD,424839,0,B,3,1,0,552290
13250,19,18,Engineering,Scientist,BFSI,H,Web Designer,Grad,Mathematics,Mathematics,Did not do PHD,2686747,0,B,2,1,1,3358433
13251,25,23,HR,Senior Researcher,Insurance,P,Marketing Manager,Grad,Sociology,Sociology,Did not do PHD,2668989,0,D,3,0,0,3069337
13252,19,14,Others,Senior Researcher,Automobile,G,Data Analyst,Grad,Zoology,Zoology,Did not do PHD,2456308,0,A,2,2,0,3070385
13253,11,5,Marketing,Analyst,IT,B,HR,PG,Engineering,Engineering,Did not do PHD,2368959,1,C,2,1,0,2876863
13254,3,2,Sales,Business Analyst,Retail,A,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,530130,0,B,2,2,0,662662
13255,3,2,Marketing,Sales Execituve,FMCG,A,Manager,Doctorate,Engineering,Engineering,Engineering,1216482,0,C,1,0,0,1510870
13258,23,9,HR,Business Analyst,Automobile,J,Product Manager,PG,Zoology,Zoology,Did not do PHD,2476122,0,D,5,1,0,2961441
13259,16,16,Healthcare,Consultant,Insurance,E,Medical Officer,Grad,Arts,Arts,Did not do PHD,2530174,0,B,6,0,0,3162717
13260,17,10,Sales,Analyst,IT,I,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1472672,0,D,6,4,0,1693572
13261,2,0,Analytics/BI,Consultant,Analytics,G,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,492589,0,C,1,1,0,566477
13262,19,15,Others,Business Analyst,Insurance,D,Assistant Manager,PG,Mathematics,Mathematics,Did not do PHD,2874719,0,C,5,0,0,3438163
13264,13,2,Marketing,Head,Telecom,M,Web Designer,PG,Chemistry,Chemistry,Did not do PHD,1963190,0,B,4,1,0,2552147
13265,9,1,Education,Sales Manager,Others,G,Others,Grad,Statistics,Statistics,Did not do PHD,1108500,1,B,5,0,0,1418880
13266,10,10,HR,Consultant,IT,P,Others,Grad,Psychology,Psychology,Did not do PHD,2000800,0,B,6,0,0,2501000
13267,10,0,HR,Business Analyst,Insurance,L,Assistant Manager,Grad,Statistics,Statistics,Did not do PHD,1801263,1,Key_Performer,6,3,0,2305616
13268,6,1,HR,Project Manager,Telecom,K,Research Analyst,PG,Botony,Botony,Did not do PHD,1391302,0,A,5,1,0,1881040
13269,14,1,Education,Others,Automobile,K,Medical Officer,Doctorate,Arts,Arts,Others,1958641,0,D,6,0,0,2432632
13270,18,8,Engineering,Business Analyst,Others,I,Assistant Manager,Grad,Mathematics,Others,Did not do PHD,2408343,1,Key_Performer,6,0,0,3082679
13271,17,4,Accounts,Scientist,Others,F,Others,Grad,Chemistry,Chemistry,Did not do PHD,1652702,0,C,6,0,1,1900607
13272,21,13,Accounts,Bio statistician,IT,A,Consultant,Doctorate,Arts,Others,Sociology,3004034,0,D,6,0,0,3731010
13273,2,1,HR,Associate,BFSI,P,Sr.Manager,Grad,Psychology,Psychology,Did not do PHD,467173,0,A,3,0,0,583966
13274,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,PG,Engineering,Engineering,Did not do PHD,0,0,Fresher,0,2,0,629996
13275,22,15,Sales,Sales Manager,Insurance,H,CA,Grad,Others,Mathematics,Did not do PHD,2553048,1,Key_Performer,5,0,0,3267901
13277,9,2,HR,Principal Analyst,BFSI,A,Others,Doctorate,Mathematics,Mathematics,Mathematics,1441140,1,C,3,0,0,1856188
13278,19,14,Healthcare,Business Analyst,FMCG,K,Software Developer,Grad,Engineering,Engineering,Did not do PHD,2275169,1,D,2,4,0,2679239
13279,13,1,Top Management,Head,Retail,F,Consultant,PG,Others,Statistics,Did not do PHD,1497773,0,C,2,2,0,1791336
13280,8,2,Education,Sales Execituve,Retail,O,Sr.Manager,PG,Statistics,Statistics,Did not do PHD,1083956,0,D,3,2,0,1296411
13281,25,4,Others,Project Manager,Others,F,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1905052,0,A,5,3,0,2381315
13283,1,0,Analytics/BI,Team Lead,Others,B,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,463940,1,B,1,2,0,603122
13284,25,11,Healthcare,Business Analyst,Others,D,Product Manager,Grad,Sociology,Sociology,Did not do PHD,2625997,0,A,3,0,0,3282496
13285,6,3,Education,Team Lead,Automobile,I,Product Manager,Grad,Statistics,Statistics,Did not do PHD,1165399,1,A,1,0,0,1551379
13286,10,8,Accounts,Sales Manager,BFSI,P,HR,Grad,Mathematics,Mathematics,Did not do PHD,1835004,0,B,6,0,0,2293755
13287,3,2,Analytics/BI,Project Manager,BFSI,D,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,658661,0,C,2,0,0,757460
13288,9,3,Marketing,Business Analyst,BFSI,L,Sr.Manager,Doctorate,Zoology,Zoology,Others,2040399,0,B,3,0,0,2754538
13289,19,1,Marketing,Project Manager,Automobile,C,HR,PG,Botony,Botony,Did not do PHD,3253347,0,B,4,0,0,4229351
13290,9,1,HR,Financial Analyst,FMCG,K,Marketing Manager,Grad,Others,Botony,Did not do PHD,1073483,0,B,2,0,0,1341853
13291,9,0,Banking,Business Analyst,BFSI,I,CA,Grad,Economics,Economics,Did not do PHD,1018185,0,Key_Performer,5,0,0,1272731
13292,9,1,Sales,Sales Manager,Telecom,M,Consultant,Grad,Arts,Others,Did not do PHD,1265353,0,C,6,0,0,1455155
13293,5,4,Marketing,Business Analyst,Insurance,I,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,494017,1,B,5,5,0,642222
13294,18,15,HR,CEO,BFSI,M,Research Analyst,PG,Arts,Arts,Did not do PHD,2904063,0,B,4,2,0,3775281
13295,4,0,IT-Software,Associate,Analytics,O,Others,Grad,Chemistry,Chemistry,Did not do PHD,653224,0,B,1,0,0,816530
13296,23,19,Top Management,Bio statistician,Retail,A,Research Analyst,Grad,Arts,Arts,Did not do PHD,2583105,1,Key_Performer,2,3,0,3306374
13297,8,5,Sales,Senior Researcher,Others,D,Others,PG,Zoology,Zoology,Did not do PHD,1217697,0,A,4,0,0,1646326
13298,6,2,Healthcare,Project Manager,Analytics,J,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1035817,0,C,3,3,0,1191189
13299,13,6,Others,Analyst,IT,H,HR,Grad,Botony,Others,Did not do PHD,2037967,0,B,6,0,0,2547458
13301,22,0,Sales,Consultant,FMCG,H,Marketing Manager,Doctorate,Statistics,Statistics,Statistics,2646163,0,D,5,0,0,3286534
13302,6,3,Sales,Business Analyst,Insurance,I,Manager,Grad,Others,Statistics,Did not do PHD,1337247,0,C,2,0,0,1537834
13303,25,25,Sales,Others,Telecom,D,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1508233,0,D,2,2,0,1734467
13304,18,18,Engineering,Analyst,FMCG,E,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1856401,0,Key_Performer,6,1,0,2320501
13305,4,3,IT-Software,Bio statistician,Automobile,H,Manager,PG,Others,Psychology,Did not do PHD,962710,0,A,2,2,0,1301583
13306,4,2,Others,Analyst,Analytics,E,Others,Doctorate,Mathematics,Mathematics,Mathematics,971407,0,C,1,0,0,1206487
13307,17,13,Analytics/BI,Project Manager,Analytics,E,CA,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2049894,0,D,5,1,0,2357378
13308,2,1,Accounts,Scientist,Analytics,D,Data Analyst,Doctorate,Economics,Economics,Others,871713,1,A,2,0,0,1220398
13310,15,10,Healthcare,Team Lead,Others,C,Data Analyst,Grad,Others,Chemistry,Did not do PHD,2381172,1,Key_Performer,3,1,0,3047900
13311,23,6,Others,Team Lead,Analytics,C,Manager,Grad,Zoology,Zoology,Did not do PHD,2404260,0,B,4,0,0,3005325
13312,6,0,Education,Others,Telecom,B,Medical Officer,PG,Zoology,Zoology,Did not do PHD,948492,0,B,3,1,0,1233039
13314,18,1,Analytics/BI,Team Lead,IT,L,Others,Doctorate,Sociology,Sociology,Sociology,3102893,0,C,4,0,0,3853793
13315,23,5,Marketing,Financial Analyst,Insurance,L,Others,Doctorate,Engineering,Engineering,Engineering,3445746,0,C,2,0,0,4279616
13316,5,2,HR,Analyst,BFSI,C,HR,Grad,Mathematics,Mathematics,Did not do PHD,605591,0,D,5,0,0,696429
13317,15,1,Education,Sales Execituve,Others,H,Assistant Manager,Grad,Engineering,Engineering,Did not do PHD,1549264,1,Key_Performer,3,0,0,1983057
13318,7,2,Top Management,Sales Manager,Others,K,Assistant Manager,Grad,Arts,Others,Did not do PHD,1177828,0,B,5,0,0,1472285
13319,10,9,Others,Team Lead,FMCG,M,Product Manager,Doctorate,Engineering,Engineering,Engineering,1712371,1,Key_Performer,2,0,0,2397319
13320,4,3,Healthcare,Research Scientist,Telecom,N,Data Analyst,Doctorate,Arts,Arts,Arts,1070127,0,C,2,0,1,1329097
13321,10,3,Engineering,Bio statistician,Aviation,M,Sr.Manager,Grad,Mathematics,Mathematics,Did not do PHD,1887941,0,A,3,0,0,2359926
13322,1,1,Analytics/BI,Team Lead,Aviation,I,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,563044,0,B,2,2,0,703805
13323,2,1,Others,Financial Analyst,FMCG,B,Network Engineer,Doctorate,Mathematics,Mathematics,Mathematics,654111,0,A,1,0,0,863426
13324,21,11,Top Management,CEO,FMCG,M,Product Manager,Grad,Psychology,Others,Did not do PHD,2592175,0,A,5,0,0,3240218
13325,4,3,Marketing,Sales Manager,Others,J,Research Analyst,Doctorate,Engineering,Engineering,Others,1112527,1,D,5,0,0,1432934
13327,24,22,Others,Head,Automobile,I,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2001426,0,A,6,2,1,2501782
13328,11,8,IT-Software,Others,Aviation,P,Medical Officer,Doctorate,Chemistry,Chemistry,Chemistry,2384670,0,D,2,0,0,2961760
13329,22,5,Education,Project Manager,Retail,F,Assistant Manager,PG,Chemistry,Chemistry,Did not do PHD,1731918,0,B,6,1,0,2251493
13330,16,6,Analytics/BI,Analyst,Others,A,Data Analyst,PG,Arts,Arts,Did not do PHD,2389122,0,C,6,1,0,2857389
13331,24,19,Accounts,Bio statistician,FMCG,N,Software Developer,PG,Others,Statistics,Did not do PHD,1474867,0,A,5,1,0,1917327
13332,20,3,Others,Analyst,BFSI,N,Manager,Grad,Statistics,Statistics,Did not do PHD,2495306,1,Key_Performer,4,0,0,3193991
13333,18,15,Top Management,Bio statistician,Retail,F,Consultant,PG,Chemistry,Chemistry,Did not do PHD,2529405,1,C,6,1,0,3071709
13335,12,4,Banking,CEO,Training,G,Product Manager,PG,Statistics,Statistics,Did not do PHD,1816952,0,B,5,1,1,2362037
13336,21,18,Healthcare,Bio statistician,BFSI,H,Sr.Manager,Doctorate,Psychology,Psychology,Others,2711089,0,A,4,0,0,3659970
13337,12,11,Education,Senior Researcher,Others,J,Data Analyst,PG,Botony,Botony,Did not do PHD,1136960,0,D,5,2,0,1359804
13338,17,15,Healthcare,Bio statistician,Automobile,P,Software Developer,PG,Engineering,Engineering,Did not do PHD,2324038,0,C,5,1,0,2779549
13339,22,5,Accounts,Financial Analyst,Aviation,E,Research Analyst,Grad,Economics,Economics,Did not do PHD,1794755,0,D,6,2,0,2063968
13340,18,0,Engineering,Business Analyst,BFSI,L,HR,PG,Botony,Others,Did not do PHD,3181355,0,A,4,1,0,4135761
13341,18,15,Banking,Others,Aviation,B,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2672161,0,C,2,1,0,3072985
13342,7,3,Accounts,Sales Execituve,BFSI,B,CA,PG,Engineering,Others,Did not do PHD,806490,1,B,4,2,0,1064566
13343,12,9,IT-Software,Scientist,Aviation,D,Software Developer,Doctorate,Mathematics,Mathematics,Others,1771373,0,A,4,0,0,2391353
13344,21,5,Education,Senior Researcher,Insurance,N,Manager,Grad,Botony,Botony,Did not do PHD,1654351,0,A,6,0,0,2067938
13345,9,8,Healthcare,Others,Training,F,Medical Officer,Grad,Zoology,Zoology,Did not do PHD,1259810,0,D,6,0,0,1448781
13346,8,5,Accounts,Scientist,Retail,P,Software Developer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,756191,1,B,4,2,1,983048
13347,4,1,Sales,Financial Analyst,Insurance,E,Software Developer,Doctorate,Economics,Economics,Economics,1297104,1,D,3,0,0,1670669
13348,13,7,HR,Project Manager,Telecom,O,Network Engineer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1554261,1,B,4,3,0,2020539
13349,2,0,Marketing,Sales Execituve,FMCG,A,Manager,Grad,Botony,Botony,Did not do PHD,418834,0,C,2,0,0,481659
13350,2,1,Engineering,Associate,BFSI,K,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,423027,0,B,2,1,0,528783
13351,21,20,Sales,Financial Analyst,Aviation,P,CA,PG,Economics,Economics,Did not do PHD,3421752,0,A,5,0,0,4448277
13352,6,1,Top Management,Project Manager,FMCG,E,Assistant Manager,Grad,Psychology,Did not do PG,Did not do PHD,975697,0,A,4,1,0,1268406
13353,16,10,Top Management,Sales Execituve,IT,D,Sr.Manager,Grad,Zoology,Did not do PG,Did not do PHD,2538179,0,D,3,0,0,2918905
13354,23,17,Top Management,Consultant,FMCG,O,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2605647,0,D,2,0,0,2996494
13355,15,3,Banking,Head,Training,P,Research Scientist,PG,Sociology,Sociology,Did not do PHD,2399784,0,A,3,1,1,3119719
13358,7,5,Analytics/BI,Consultant,Insurance,D,Others,Grad,Sociology,Sociology,Did not do PHD,851713,0,D,4,0,0,979469
13360,2,1,Marketing,Project Manager,Automobile,L,Manager,PG,Others,Zoology,Did not do PHD,795299,0,B,1,0,0,1033888
13361,10,4,Analytics/BI,Analyst,Retail,H,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1147880,1,D,1,1,0,1372864
13362,24,6,Analytics/BI,Data scientist,Automobile,D,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2749332,0,D,5,1,1,3161731
13363,7,0,Healthcare,Project Manager,Aviation,M,HR,Grad,Botony,Did not do PG,Did not do PHD,976405,0,C,1,0,0,1122865
13364,9,8,Accounts,Consultant,Training,G,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1105430,0,C,6,3,0,1271244
13365,4,4,Marketing,Business Analyst,Insurance,N,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,422124,0,Key_Performer,5,1,0,548761
13366,21,4,Marketing,CEO,Telecom,K,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1908235,0,D,3,1,0,2194470
13367,6,0,Accounts,Business Analyst,Retail,F,Marketing Manager,PG,Chemistry,Chemistry,Did not do PHD,546043,1,Key_Performer,2,0,0,749607
13368,13,2,Analytics/BI,Data scientist,IT,C,Director,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1517243,1,B,3,1,0,1972415
13369,16,12,Engineering,CEO,Analytics,L,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1559142,0,D,6,1,1,1793013
13371,14,9,Accounts,CEO,Others,I,Assistant Manager,Doctorate,Engineering,Engineering,Engineering,2491808,0,D,5,0,1,3094825
13373,7,5,Engineering,Others,Others,O,HR,PG,Economics,Economics,Did not do PHD,975891,1,B,6,0,0,1288176
13374,16,9,Top Management,Sales Execituve,Retail,N,Product Manager,Grad,Engineering,Engineering,Did not do PHD,2445665,1,Key_Performer,6,0,0,3130451
13375,1,0,Others,Business Analyst,Retail,P,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,497773,0,C,1,4,0,572438
13376,6,0,Accounts,Project Manager,Retail,L,Sr.Manager,Grad,Statistics,Statistics,Did not do PHD,659621,1,B,3,0,0,844314
13377,17,0,Engineering,Sales Manager,Retail,B,Sr.Manager,Grad,Chemistry,Chemistry,Did not do PHD,2440312,1,A,3,0,0,3123599
13379,12,2,Banking,Consultant,Automobile,A,Manager,PG,Psychology,Psychology,Did not do PHD,1833733,0,D,5,0,0,2193144
13380,19,4,Banking,Financial Analyst,Aviation,H,Data Analyst,Grad,Others,Engineering,Did not do PHD,2356618,0,D,5,4,0,2710110
13381,3,1,Sales,Analyst,Telecom,G,Product Manager,Doctorate,Botony,Botony,Botony,1102639,0,C,1,0,0,1369477
13382,20,19,Marketing,Team Lead,Aviation,H,Web Designer,Doctorate,Statistics,Statistics,Statistics,2909909,0,A,3,0,0,3928377
13383,2,2,Healthcare,Associate,Telecom,I,Software Developer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,474769,0,B,2,0,0,593461
13385,10,2,Banking,Team Lead,Automobile,G,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1304380,0,B,5,2,0,1630475
13386,8,6,Healthcare,Bio statistician,Automobile,M,Assistant Manager,PG,Statistics,Statistics,Did not do PHD,1096266,1,B,6,0,0,1447071
13387,16,5,Education,Sales Manager,IT,F,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2440818,0,C,5,3,0,2806940
13389,13,10,Accounts,Project Manager,IT,H,Others,PG,Statistics,Statistics,Did not do PHD,1599347,0,B,2,1,0,2079151
13390,12,4,Banking,Bio statistician,Others,E,HR,PG,Others,Others,Did not do PHD,1871722,1,A,4,1,0,2470673
13392,25,16,Banking,Others,IT,I,Marketing Manager,Grad,Psychology,Psychology,Did not do PHD,2460932,0,C,2,0,0,2830071
13393,7,6,Accounts,Scientist,IT,D,CA,Grad,Economics,Others,Did not do PHD,900317,1,C,1,0,0,1060213
13394,3,0,Banking,Associate,Retail,K,Software Developer,PG,Others,Statistics,Did not do PHD,664921,1,A,3,1,0,877695
13395,5,2,HR,Associate,Others,J,Network Engineer,PG,Engineering,Engineering,Did not do PHD,825217,1,C,4,1,0,1002143
13396,23,9,Healthcare,Consultant,Automobile,F,Others,PG,Chemistry,Chemistry,Did not do PHD,2971176,1,Key_Performer,2,0,0,3921952
13397,14,4,Sales,Senior Researcher,Aviation,A,Research Scientist,Doctorate,Psychology,Psychology,Psychology,2195326,0,A,3,0,0,2963690
13398,25,6,Analytics/BI,CEO,Insurance,O,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2671013,1,Key_Performer,3,3,0,3472316
13399,21,6,Others,Senior Researcher,Analytics,F,Product Manager,Grad,Psychology,Psychology,Did not do PHD,2638024,0,D,4,0,0,3033727
13400,14,3,Healthcare,Scientist,Telecom,D,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1692615,1,B,6,1,1,2200399
13401,3,2,Marketing,Bio statistician,IT,K,Medical Officer,PG,Arts,Arts,Did not do PHD,681300,0,D,2,0,0,814834
13402,19,17,Accounts,Sales Execituve,Insurance,C,Director,PG,Engineering,Engineering,Did not do PHD,1757235,0,B,5,1,0,2284405
13403,1,1,Marketing,Analyst,BFSI,C,CA,Grad,Statistics,Statistics,Did not do PHD,546628,1,B,3,0,0,683285
13404,8,4,HR,Senior Researcher,IT,C,Data Analyst,Doctorate,Sociology,Sociology,Others,2166149,0,A,4,0,0,3041273
13405,20,5,Banking,Project Manager,BFSI,D,Software Developer,Doctorate,Mathematics,Mathematics,Mathematics,3310606,1,Key_Performer,3,0,0,4634848
13406,3,2,Banking,Project Manager,Retail,M,CA,PG,Engineering,Others,Did not do PHD,721001,1,D,2,0,0,875583
13407,20,3,Sales,Others,FMCG,G,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2520798,0,A,4,3,0,3150997
13408,9,8,Analytics/BI,Scientist,Telecom,M,Assistant Manager,Grad,Mathematics,Mathematics,Did not do PHD,1038435,0,B,1,3,0,1298043
13409,25,4,Banking,Bio statistician,Training,J,Consultant,Doctorate,Psychology,Psychology,Others,3512275,0,D,4,0,0,4362245
13410,3,2,Others,Team Lead,Retail,G,Director,Doctorate,Mathematics,Mathematics,Mathematics,1079747,1,D,1,0,0,1390714
13411,20,12,Banking,CEO,Telecom,L,Research Scientist,Grad,Zoology,Did not do PG,Did not do PHD,2480037,0,C,3,0,0,2852042
13413,13,0,Top Management,Others,Others,H,Sr.Manager,PG,Chemistry,Chemistry,Did not do PHD,1904577,1,A,5,0,0,2514041
13414,15,11,IT-Software,Team Lead,Analytics,K,Assistant Manager,Grad,Statistics,Statistics,Did not do PHD,2494559,1,A,5,4,0,3193035
13415,5,0,Sales,Team Lead,Training,J,Medical Officer,Grad,Chemistry,Chemistry,Did not do PHD,621073,0,C,3,0,0,714233
13416,7,3,Education,Analyst,Automobile,O,Medical Officer,Grad,Sociology,Did not do PG,Did not do PHD,1077475,0,Key_Performer,3,0,0,1400717
13418,16,10,Others,CEO,Others,J,Director,PG,Engineering,Others,Did not do PHD,2836907,0,B,2,1,1,3687979
13419,5,2,Banking,Team Lead,Training,F,HR,PG,Others,Others,Did not do PHD,929066,0,B,1,1,0,1207785
13420,11,4,Engineering,Consultant,Retail,H,Consultant,Grad,Mathematics,Mathematics,Did not do PHD,1932071,0,B,6,0,0,2415088
13421,3,2,Analytics/BI,Team Lead,BFSI,O,Others,Grad,Psychology,Psychology,Did not do PHD,664824,0,D,1,0,0,764547
13422,13,5,HR,Consultant,Others,K,CA,Grad,Mathematics,Mathematics,Did not do PHD,1864180,1,D,5,0,0,2195258
13423,16,6,Top Management,CEO,Retail,B,Manager,PG,Sociology,Sociology,Did not do PHD,3060921,0,B,3,1,0,3979197
13424,7,2,IT-Software,Consultant,Telecom,N,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1155382,0,B,2,3,0,1444227
13425,15,10,Engineering,Head,FMCG,B,Network Engineer,Doctorate,Economics,Economics,Economics,2086145,1,A,2,0,0,2920603
13426,13,6,Healthcare,Head,Insurance,L,Research Analyst,Grad,Mathematics,Mathematics,Did not do PHD,1986816,0,Key_Performer,2,3,0,2483520
13427,5,5,Marketing,Project Manager,Others,E,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,502898,0,B,3,2,0,628622
13428,3,0,Others,Bio statistician,Automobile,P,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,612795,0,C,3,0,0,704714
13429,4,3,Healthcare,Scientist,Telecom,O,CA,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,450127,0,D,6,0,1,517646
13430,9,3,Others,Sales Manager,Analytics,G,HR,PG,Mathematics,Mathematics,Did not do PHD,2115933,1,D,4,1,0,2569589
13431,17,6,HR,Senior Researcher,Insurance,P,Sr.Manager,PG,Psychology,Psychology,Did not do PHD,3360241,1,Key_Performer,6,0,0,4435518
